"01coin","zoc"
"diversityequity-inclusion","dei"
"divi","divi"
"divincipay","dvnci"
"dizzyhavoc","dzhv"
"djbonk","djbonk"
"djed","djed"
"dkargo","dka"
"dkey-bank","dkey"
"dlp-duck-token","duck"
"dmail-network","dmail"
"dmx","dmx"
"dmz-token","dmz"
"dnaxcat","dxct"
"dobi","dobi"
"dock","dock"
"doctor-evil","evil"
"docuchain","dcct"
"documentchain","dms"
"dodo","dodo"
"dodo-2","dodo"
"doeg-wif-rerart","doeg"
"dog-3","dog"
"dogai","dogai"
"dogami","doga"
"dogcoin","dogs"
"dog-collar","collar"
"dog-coq","dogcoq"
"doge-1","doge1"
"doge-1-2","doge-1"
"doge-1-mission-to-the-moon","doge-1"
"doge-1-moon-mission","doge-1"
"doge-1satellite","doge-1sat"
"doge-2-0","doge2.0"
"doge2-0","doge2.0"
"doge69","doge69"
"dogeai","dogeai"
"dogebits-drc-20","dbit"
"dogebonk","dobo"
"dogebonk-eth","dobo"
"dogebonk-on-sol","dobo"
"dogeboy","dogb"
"dogecash","dogec"
"doge-ceo","dogeceo"
"dogeceomeme","dogeceo"
"dogechain","dc"
"dogeclub","dogc"
"dogecoin","doge"
"dogecoin-2","doge2"
"dogecola","colana"
"dogecube","dogecube"
"dogedi","dogedi"
"dogedragon","dd"
"doge-eat-doge","omnom"
"doge-floki-2-0","(dofi20"
"doge-floki-coin","dofi"
"doge-floki-coin-2","dofi"
"dogefood","dogefood"
"dogegayson","goge"
"dogegf","dogegf"
"doge-grok","dogegrok"
"dogegrow","dgr"
"doge-inu","dinu"
"doge-kaki","kaki"
"dogeking","dogeking"
"dogelana","dgln"
"doge-legion","doge legio"
"dogelogy","doge 0.1"
"dogelon-classic","elonc"
"dogelon-mars","elon"
"dogelon-mars-2-0","elon2.0"
"dogelon-mars-wormhole","elon"
"doge-lumens","dxlm"
"doge-marley","marley"
"dogemeta","dogemeta"
"dogemob","dogemob"
"dogemon-go","dogo"
"dogemoon","dogemoon"
"dogemoon-2","dogemoon"
"doge-of-grok-ai","dogegrokai"
"dogeon","don"
"doge-on-pulsechain","doge"
"dogepad-finance","dpf"
"doge-protocol","dogep"
"dogeshrek","dogeshrek"
"dogeswap","doges"
"dogether","dogether"
"doge-token","doget"
"doge-tv","$dgtv"
"doge-whale","dwhl"
"dogey-inu","dinu"
"dogezilla-2","zilla"
"dogezilla-ai","dai"
"dogfinity","dogmi"
"doggensnout-skeptic","dogs"
"dogggo","dogggo"
"doggo","doggo"
"doggy","doggy"
"dogi","dogi"
"dogihub-doginals","$hub"
"doginal-kabosu-drc-20","dosu"
"doginals-club-exclusive-doginals","dcex"
"doginme","doginme"
"doginphire","fire"
"doginthpool","dip"
"doginwotah","water"
"dogira","dogira"
"dog-of-wisdom","wisdm"
"dog-ordinals","$dog"
"dogo-token","dogo"
"dogpad-finance","dogpad"
"dogsofelon","doe"
"dogs-rock","dogsrock"
"dogswap-token","dog"
"dogu-inu","dogu"
"dog-vision-pro","vision"
"dogwifcoin","wif"
"dogwifcrocs","dwc"
"dogwifhat-bsc","wif"
"dogwifhat-eth","dogwifhat"
"dogwifhood","wif"
"dogwifkatana","katana"
"dogwifleg","leg"
"dog-wif-nuchucks","ninja"
"dogwifouthat","wifout"
"dogwifpants","pants"
"dogwifscarf","wifs"
"dogyrace","dor"
"dogz","dogz"
"dohrnii","dhn"
"doichain","doi"
"dojo","dojo"
"dojo-2","dojo"
"dojo-supercomputer","$dojo"
"dojo-token","dojo"
"doke-inu","doke"
"doki","doki"
"doki-doki-finance","doki"
"dola-borrowing-right","dbr"
"dolan-duck","dolan"
"dola-usd","dola"
"dollarback","back"
"dollarmoon","dmoon"
"dollar-on-chain","doc"
"dollarsqueeze","dsq"
"dolp","dolp"
"dolz-io","dolz"
"domi","domi"
"dominator-domains","domdom"
"dominica-coin","dmc"
"dominium-2","dom"
"domo","domo"
"donablock","dobo"
"donald-tremp","tremp"
"donald-trump","trump2024"
"donaswap","dona"
"don-don-donki","donki"
"dongcoin","dong"
"dongo-ai","dongo"
"donk","donk"
"donkey","donk"
"don-key","don"
"donk-inu","donk"
"dons","dons"
"don-t-buy-inu","dbi"
"donut","donut"
"doodoo","doodoo"
"doom-hero-dao","dhd"
"doont-buy","dbuy"
"dopamine","dope"
"dope-wars-paper","paper"
"dopex","dpx"
"dopex-rebate-token","rdpx"
"dopex-receipt-token-eth","rteth"
"dor","dor"
"dora-factory","dora"
"dora-factory-2","dora"
"doric-network","drc"
"dork","dork"
"dork-lord","dorkl"
"dorkordinalbitcoinbinance","dobby"
"dos-chain","dos"
"dose-token","dose"
"dos-network","dos"
"dotblox","dtbx"
"dot-dot-finance","ddd"
"dot-finance","pink"
"dotmoovs","moov"
"dotori","dtr"
"doubloon","dbl"
"doug","doug"
"dough","dough"
"douglas-adams","hhgttg"
"doveswap","dov"
"dovi","dovi"
"dovu","dov"
"dovu-2","dovu"
"dozy-ordinals","dozy"
"dparrot","parrot"
"dpex","dpex"
"dprating","rating"
"dps-doubloon","dbl"
"dps-doubloon-2","dbl"
"dps-rum-2","rum"
"dps-treasuremaps-2","tmap"
"dracarys-token","dra"
"drac-network","drac"
"dracoo-point","dra"
"drac-ordinals","drac"
"dracula-fi","fang"
"draggable-aktionariat-ag","daks"
"drago","drago"
"dragoma","dma"
"dragon-2","dragon"
"dragon-3","dragon"
"dragonchain","drgn"
"dragoncoin","dragon"
"dragon-crypto-argenti","dcar"
"dragon-crypto-aurum","dcau"
"dragonking","dragonking"
"dragon-mainland-shards","dms"
"dragonmaster-token","dmt"
"dragonmaster-totem","totem"
"dragon-ordinals","drag"
"dragon-soul-token","dst"
"dragon-s-quick","dquick"
"dragons-quick","dquick"
"dragon-war","draw"
"dragon-wif-hat","dwif"
"dragonx","dragon"
"dragonx-2","drgx"
"dragonx-win","dragonx"
"dragy","dragy"
"draken","drk"
"drake-s-dog","diamond"
"drako","drako"
"drawshop-kingdom-reverse-joystick","joy"
"drc-mobility","drc"
"dream-machine-token","dmt"
"dream-marketplace","dream"
"dreampad-capital","dreampad"
"dreamscoin","dream"
"dreams-quest","dreams"
"dream-token","dream"
"dreamverse","dv"
"drep-new","drep"
"drife","drf"
"dripdropz","drip"
"drip-network","drip"
"drive-to-earn","dte"
"droggy","droggy"
"drop","drop"
"dropcoin-club","drop"
"drops","drops"
"drops-ownership-power","dop"
"drop-wireless-infrastructure","dwin"
"drunk","drunk"
"drunk-robots","metal"
"drunk-skunks-drinking-club","stink"
"dsc-mix","mix"
"dshares","dshare"
"d-shop","dp"
"dsun-token","dsun"
"dtec-token","dtec"
"dtng","dtng"
"dtools","dtools"
"dtravel","trvl"
"dtsla","dtsla"
"dtube-coin","dtube"
"dual-finance","dual"
"dua-token","dua"
"dubbz","dubbz"
"dub-duck","$dub"
"dubx","dub"
"ducatus","ducx"
"duckdao","dd"
"duckdaodime","ddim"
"duckduck-token","duck"
"ducker","ducker"
"duckereum","ducker"
"duckie-land-multi-metaverse","mmeta"
"duckies","duckies"
"ducks","ducks"
"ducky-city-earn","dce"
"duckydefi","degg"
"dude","dude"
"dude-injective","dude"
"dudiez-meme-token","dudiez"
"duel-network-2","duel"
"duel-royale","royale"
"duet-protocol","duet"
"dug","dug"
"duge","duge"
"duh","duh"
"duk","duk"
"duke-inu-token","duke"
"duko","duko"
"dumbmoney","gme"
"dumbmoney-2","gme"
"dummy","dummy"
"dungeonswap","dnd"
"dungeon-token","grow"
"dupe-the-duck","dupe"
"dusd","dusd"
"dusk-network","dusk"
"dust-city-nectar","nctr"
"dust-protocol","dust"
"dux","dux"
"dvision-network","dvi"
"dxchain","dx"
"dxdao","dxd"
"dxsale-network","sale"
"dydx","ethdydx"
"dydx-chain","dydx"
"dydx-wethdydx","wethdydx"
"dydx-wormhole","dydx"
"dykan","dkn"
"dyl","dyl"
"dymension","dym"
"dymmax","dmx"
"dynamic-finance","dyna"
"dynamite-token","dynmt"
"dynamix","dyna"
"dynasty-coin","dny"
"dynex","dnx"
"dyor","dyor"
"dyor-token-2","dyor"
"dypius","dyp"
"dyson-sphere","dysn"
"dystopia","dyst"
"dyzilla","dyzilla"
"earnbet","ebet"
"earndefi","edc"
"earn-finance","earnfi"
"earn-network-2","earn"
"earntv","etv"
"earthbyt","ebyt"
"earthfund","1earth"
"eastgate-pharmaceuticals","egp"
"easyfi","ez"
"easy-swap-bot","ezswap"
"easytoken","eyt"
"eazyswap-token","eazy"
"ebabil-io","ebabil"
"ebase","ebase"
"ebisusbay-fortune","frtn"
"eblockstock","ebso"
"ebox","ebox"
"ecash","xec"
"echain-network","ect"
"echelon-prime","prime"
"echidna","ecd"
"echo-bot","echo"
"echodex-community-portion","ecp"
"echoes","echoes"
"echolink","eko"
"echo-of-the-horizon","eoth"
"echosoracoin","esrc"
"eclat","elt"
"eclipse-fi","eclip"
"eco","eco"
"ecochain-2","eco"
"ecochain-token","ect"
"ecocredit","eco"
"ecog9coin","egc"
"ecoin-2","ecoin"
"ecoin-finance","ecoin"
"ecomi","omi"
"ecoreal-estate","ecoreal"
"ecoscu","ecu"
"ecoterra","ecoterra"
"ecox","ecox"
"ecs-gold","ecg"
"e-c-vitoria-fan-token","vtra"
"edain","eai"
"eddaswap","edda"
"edelcoin","edlc"
"eden","eden"
"edge","edge"
"edgecoin-2","edgt"
"edgeless","edg"
"edge-matrix-computing","emc"
"edgeswap","egs"
"edgevana-staked-sol","edgesol"
"edgeware","edg"
"edns-domains","edns"
"edoverse-zeni","zeni"
"edrivetoken","edt"
"edu3labs","nfe"
"edu-coin","edu"
"edufex","edux"
"edum","edum"
"eeg","eeg"
"eesee","ese"
"eeyor","eeyor"
"effect-network","efx"
"efin-decentralized","wefin"
"efinity","efi"
"efk-token","efk"
"eflancer","efcr"
"efun","efun"
"egaz","egaz"
"egg","egg"
"eggdog","egg"
"egg-eth","egg"
"egg-n-partners","eggt"
"eggplant-finance","eggp"
"eggs","eggs"
"eggx","eggx"
"eggy","eggy"
"eggzomania","egg"
"ego-fitness","ego"
"egold-project","egold"
"egold-project-2","egold"
"egoncoin","egon"
"egoras-credit","egc"
"eg-token","eg"
"ehash","ehash"
"einsteinium","emc2"
"ekta-2","ekta"
"elan","elan"
"elastos","ela"
"eldarune","elda"
"el-dorado-exchange-arb","ede"
"el-dorado-exchange-base","ede"
"electra","eca"
"electra-protocol","xep"
"electric-cash","elcash"
"electric-vehicle-direct-currency","evdc"
"electric-vehicle-zone","evz"
"electrify-asia","elec"
"electron-arc-20","electron"
"electroneum","etn"
"electronicgulden","efl"
"electronic-usd","eusd"
"elefant","ele"
"element","elmt"
"elemental-story","pgt"
"element-black","elt"
"elementum","ele"
"elephant-money","elephant"
"elephantpepe","elepepe"
"elevate-token","$elev"
"el-gato","elgato"
"el-gato-2","elgato"
"el-hippo","hipp"
"eligma","goc"
"elis","xls"
"elixir-finance","elxr"
"elixir-token","elix"
"elizabath-whoren","whoren"
"elk-finance","elk"
"ellerium","elm"
"ellipsis","eps"
"ellipsis-x","epx"
"elmoerc","elmo"
"eloin","eloin"
"elo-inu","elo inu"
"elon-2024","elon2024"
"elon404","elon404"
"elon-cat","schrodinge"
"elon-cat-2","eloncat"
"elondoge-dao","edao"
"elon-doge-token","edoge"
"elon-dragon","elondragon"
"elongate-2","elongate"
"elon-goat","egt"
"elonium","elon"
"elon-mars","elonmars"
"elon-musk-ceo","elonmuskce"
"elonx","elonx"
"elonxaidogemessi69pepeinu","bitcoin"
"elon-xmas","xmas"
"elosys","elo"
"el-risitas","kek"
"elrond-erd-2","egld"
"elsd-coin","elsd"
"elseverse-world","ells"
"elumia","elu"
"elvishmagic","emagic"
"elya","elya"
"elyfi","elfi"
"elysia","el"
"elysiant-token","els"
"elysiumg","lcmg"
"elysium-royale","royal"
"elysium-token","elys"
"elys-network","elys"
"elyssa","ely"
"emartzon","emz"
"ember","ember"
"embr","embr"
"emdx","emdx"
"emercoin","emc"
"emerging-assets-group","eag"
"eminer","em"
"emingunsirer","egs"
"eml-protocol","eml"
"emmi-gg","emmi"
"emmy","emmy"
"emoji-erc20","$emoji"
"e-money","ngm"
"e-money-eur","eeur"
"emorya-finance","emr"
"emotech","emt"
"emoticoin","emoti"
"empire-token","empire"
"emp-money","emp"
"empowa","emp"
"emp-shares-v2","eshare v2"
"empyreal","emp"
"encoins","encs"
"encrypgen","dna"
"encrypt","$encr"
"endblock","end"
"endless-battlefield","eng"
"endlesswebworlds","eww"
"endpoint-cex-fan-token","endcex"
"endurance","ace"
"eneftor","eftr"
"enegra","egx"
"energi","nrg"
"energi-bridged-usdc-energi","usdc"
"energi-dollar","usde"
"energo","tsl"
"energreen","egrn"
"energy8","e8"
"energy-efficient-mortgage-tokenized-stock-defichain","deem"
"energyfi","eft"
"energy-token","nrg"
"energytrade-token","ett"
"energy-web-token","ewt"
"eng-crypto","eng"
"enigma","eng"
"enigma-gaming","eng"
"enjincoin","enj"
"enjinstarter","ejs"
"enjoy","enjoy"
"enjoy-network","eyn"
"enno-cash","enno"
"eno","eno"
"enoch","enoch"
"enosys","hln"
"enosys-usdt","eusdt"
"enq-enecuum","enq"
"enreachdao","nrch"
"enrex","enrx"
"ensue","ensue"
"entangle","ngl"
"enter","enter"
"enterbutton","entc"
"enterdao","entr"
"entropy","ent"
"ents","ents"
"envida","edat"
"envi-foundation","envi"
"envision","vis"
"envoy-network","env"
"eos","eos"
"eosdac","eosdac"
"eosforce","eosc"
"epep","epep"
"epicbots","epic"
"epic-cash","epic"
"epic-league","epl"
"epics-token","epct"
"epiko","epiko"
"epik-prime","epik"
"epik-protocol","aiepk"
"epillo","epillo"
"epoch-island","epoch"
"eq9","eq9"
"eqifi","eqx"
"equalizer","eqz"
"equalizer-base","scale"
"equalizer-dex","equal"
"equation","equ"
"equilibre","vara"
"equilibria-finance","eqb"
"equilibria-finance-ependle","ependle"
"equilibrium","eq"
"equilibrium-eosdt","eosdt"
"equilibrium-exchange","edx"
"equilibrium-token","eq"
"equinox-ecosystem","nox"
"equitypay","eqpay"
"era7","era"
"eraape","eape"
"e-radix","exrd"
"era-name-service","era"
"era-swap-token","es"
"ergo","erg"
"ergone","ergone"
"ergopad","ergopad"
"eris-amplified-huahua","amphuahua"
"eris-amplified-juno","ampjuno"
"eris-amplified-luna","ampluna"
"eris-amplified-mnta","ampmnta"
"eris-amplified-osmo","amposmo"
"eris-amplified-whale","ampwhale"
"eris-staked-kuji","ampkuji"
"eris-staked-mnta","ampmnta"
"error404","pnf"
"error-404","$err"
"ertha","ertha"
"erth-point","erth"
"esab","$esab"
"esco-coin","esco"
"escoin-token","elg"
"escrowed-illuvium-2","silv2"
"escrowed-lbr","eslbr"
"esg","esg"
"esg-chain","esgc"
"eska","esk"
"eskisehir-fan-token","eses"
"espento","spent"
"espento-usd","eusd"
"espl-arena","arena"
"esport","espt"
"esporte-clube-bahia-fan-token","bahia"
"espresso-bot","espr"
"essentia","ess"
"etcpow","etcpow"
"eternal-ai","mind"
"eternalflow","eft"
"eternity-glory-token","$glory"
"etf-rocks","etf"
"etfsol2024","etf"
"etf-the-token","etf"
"etgm-ordinals","etgm"
"eth-2-0","eth 2.0"
"eth2-staking-by-poolx","eth2"
"eth-2x-flexible-leverage-index","eth2x-fli"
"eth3s","eth3s"
"etha-lend","etha"
"ethane","c2h6"
"ethax","ethax"
"eth-coin-mori-finance","ethc"
"ethdown","ethdown"
"ethena","ena"
"ethena-staked-usde","susde"
"ethena-usde","usde"
"ether-1","etho"
"etheraid","etra"
"etherdoge","edoge"
"ethereans","os"
"etherempires","ete"
"ethereum","eth"
"ethereum-classic","etc"
"ethereum-express","ete"
"ethereumfair","dis"
"ethereum-gold-2","ethg"
"ethereum-inu","ethinu"
"ethereummax","emax"
"ethereum-message-service","ems"
"ethereum-meta","ethm"
"ethereum-name-service","ens"
"ethereum-overnight","eth+"
"ethereum-pow-iou","ethw"
"ethereum-push-notification-service","push"
"ethereum-reserve-dollar-usde","usde"
"ethereum-volatility-index-token","ethv"
"ethereum-wormhole","eth"
"ethereumx","etx"
"ether-fi","ethfi"
"ether-fi-staked-eth","eeth"
"ethergem","egem"
"etherisc","dip"
"etherland","eland"
"etherlite-2","etl"
"ethermon","emon"
"ethernal-finance","ethfin"
"ethernexus","enxs"
"ethernity-chain","ern"
"ethernity-cloud","ecld"
"ether-orb","orb"
"etherparty","fuel"
"etherpets","epets"
"etherpos","etpos"
"etherscape","scape"
"ether-wars","war"
"ethetf","ethetf"
"eth-fan-token","eft"
"ethforestai","ethfai"
"ethichub","ethix"
"ethlas","els"
"ethlend","lend"
"ethos","vgx"
"ethos-2","3th"
"ethos-reserve-note","ern"
"ethpad","ethpad"
"ethrix","etx"
"eth-rock-erc404","$rock"
"ethscriptions","eths"
"eth-stable-mori-finance","eths"
"ethtez","ethtz"
"ethup","ethup"
"etica","eti"
"etuktuk","tuk"
"etwinfinity","etw"
"euler","eul"
"euno","euno"
"eurc-wormhole","eurc"
"eurk","eurk"
"euro3","euro3"
"euro-coin","eurc"
"eurocoinpay","ecte"
"euro-coinvertible","eur-c"
"euroe-stablecoin","euroe"
"eusd-27a558b0-8b5b-4225-a614-63539da936f4","eusd"
"eusd-new","eusd"
"evadore","eva"
"evai-2","ev"
"evanesco-network","eva"
"evany","evy"
"eve","eve the cat"
"eve-ai","eveai"
"evedo","eved"
"eve-exchange","eve"
"eventsx","evex"
"everdome","dome"
"evereth","evereth"
"evereth-2","eeth"
"everex","evx"
"everflow-token","eft"
"evergrowcoin","egc"
"everid","id"
"everipedia","iq"
"everlodge","eldg"
"evermoon-erc","evermoon"
"evermoon-sol","evermoon"
"evernode","evr"
"everreflect","evrf"
"everrise","rise"
"everrise-sol","rise"
"everscale","ever"
"ever-sol","ever"
"everton-fan-token","efc"
"everybody","hold"
"everycoin","evy"
"every-game","egame"
"evil-pepe","evilpepe"
"evmos","evmos"
"evmos-domains","evd"
"evoload","evld"
"evolva","eva"
"evolve","$evol"
"evoverses","evo"
"evrynet","evry"
"evulus","evu"
"exa","exa"
"exactly-op","exaop"
"exactly-usdc","exausdc"
"exactly-wbtc","exawbtc"
"exactly-weth","exaweth"
"exactly-wsteth","exawsteth"
"exatech","ext"
"excalibur","exc"
"excelon","xlon"
"exchangecoin","excc"
"exchange-genesis-ethlas-medium","xgem"
"exciting-japan-coin","xjp"
"exeedme","xed"
"exgo","exgo"
"exmo-coin","exm"
"exnetwork-token","exnt"
"exohood","exo"
"exorde","exd"
"exosama-network","sama"
"expanse","exp"
"experience-chain","xpc"
"experty-wisdom-token","wis"
"exponential-capital-2","expo"
"export-mortos-platform","emp"
"extradna","xdna"
"extra-finance","extra"
"extreme","xtrm"
"extropic-ai","extropic"
"exynos-protocol","xyn"
"eyebot","eyebot"
"eye-earn","smilek"
"eyes-protocol","eyes"
"eyeverse","eye"
"ezillion","ezi"
"ezkalibur","sword"
"ezswap-protocol","ezswap"
"ezzy-game-2","gezy"
"fable-of-the-dragon","tyrant"
"fabric","fab"
"fabwelt","welt"
"facebook-tokenized-stock-defichain","dfb"
"facedao","face"
"facet","facet"
"fact0rn","fact"
"factor","fctr"
"facts","bkc"
"fade","fade"
"fafy-token","fafy"
"fair-berc20","berc"
"fairerc20","ferc"
"fairlight","fcdp"
"fairspin","tfs"
"fairum","fai"
"faith-tribe","ftrb"
"falcon-nine","f9"
"falcon-token","fnt"
"fame-ai","$fmc"
"fame-mma","fame"
"fame-reward-plus","frp"
"family-2","fam"
"family-guy","guy"
"family-over-everything","foe"
"famous-fox-federation","foxy"
"famous-fox-federation-floor-index","foxes"
"fanadise","fan"
"fanbase","wfnb"
"fanc","fanc"
"fancy-games","fnc"
"fandomdao","fand"
"fanfury","fury"
"fang-token","fang"
"fanstime","fti"
"fantacoin","ftc"
"fantaverse","ut"
"fan-token","fan"
"fantom","ftm"
"fantom-doge","rip"
"fantomgo","ftg"
"fantom-libero-financial","flibero"
"fantom-maker","fame"
"fantom-money-market","fbux"
"fantom-oasis","ftmo"
"fantomsonicinu","fsonic"
"fantomstarter","fs"
"fantom-usd","fusd"
"fantom-velocimeter","fvm"
"fanzee-token","fnz"
"faraland","fara"
"farcana","far"
"farlaunch","far"
"farmbot","farm"
"farmer-friends","frens"
"farmers-only","fox"
"farmers-world-wood","fww"
"farmland-protocol","far"
"farmsent","farms"
"fart-coin","frtc"
"fastlane","lane"
"fastswap-bsc-2","fast"
"fasttoken","ftn"
"fatality-coin","fatality"
"fat-cat","fatcat"
"fat-cat-2","fcat"
"fathom","$fathom"
"fathom-dollar","fxd"
"fathom-protocol","fthm"
"fatih-karagumruk-sk-fan-token","fksk"
"favor","favr"
"faya","faya"
"fayda-games","fayd"
"fbomb","bomb"
"fc-barcelona-fan-token","bar"
"fc-porto","porto"
"fcr-coin","fcr"
"fc-sion-fan-token","sion"
"fcuk","fcuk"
"fear","fear"
"feathercoin","ftc"
"federal-ai","fedai"
"federal-gold-coin","fgc"
"fedoracoin","tips"
"feeder-finance","feed"
"feed-on-acf-game","feed"
"feels-good-man","good"
"feg-bsc","feg"
"feg-token","feg"
"feg-token-2","feg"
"feg-token-bsc","feg"
"feichang-niu","fcn"
"feisty-doge-nft","nfd"
"fei-usd","fei"
"felicette-the-space-cat","felicette"
"felix","flx"
"felix-2","felix"
"felix-the-lazer-cat","$peow"
"fellaz","flz"
"fenerbahce-token","fb"
"fenglvziv2","fenglvziv2"
"fentanyl-dragon","fentanyl"
"ferma","ferma"
"ferret-ai","ferret"
"ferro","fer"
"ferrum-network","frm"
"ferscoin","fr"
"fetch-ai","fet"
"feyorra","fey"
"fgdswap","fgds"
"fiat24-chf","chf24"
"fiat24-eur","eur24"
"fiat24-usd","usd24"
"fibonacci","fibo"
"fibos","fo"
"fibo-token","fibo"
"fidance","fdc"
"fidelis","fdls"
"fideum","fi"
"fidira","fid"
"fido","fido"
"fidu","fidu"
"fief","fief"
"fierdragon","fierdragon"
"fiero","fiero"
"fifi","fifi"
"fight-of-the-ages","fota"
"fight-win-ai","fwin-ai"
"figments-club","figma"
"figure-ai","fai"
"figure-dao","fdao"
"filda","filda"
"filecoin","fil"
"filecoin-standard-full-hashrate","sfil"
"fileshare-platform","fsc"
"filestar","star"
"filipcoin","fcp"
"filmcredits","film"
"fimarkcoin-com","fmc"
"fina","fina"
"final-frontier","frnt"
"finance-ai","financeai"
"finance-blocks","fbx"
"finance-vote","fvt"
"financie-token","fnct"
"finblox","fbx"
"finceptor-token","finc"
"find-check","fck"
"findora","fra"
"fine","fine"
"finebot","fbot"
"finedog","finedog"
"finexbox-token","fnb"
"finger-blast","finger"
"fingerprints","prints"
"finminity","fmt"
"fins-token","fins"
"fintradao","fdc"
"fintrux","ftx"
"finx","finx"
"finxflo","fxf"
"fio-protocol","fio"
"fira","fira"
"fira-cronos","fira"
"fireants","ants"
"fireball-2","fire"
"firebot","fbx"
"firebot-2","firebot"
"firepot-finance","hott"
"fire-protocol","fire"
"firestarter","flame"
"firmachain","fct"
"first-digital-usd","fdusd"
"first-grok-ai","grok"
"firsthare","firsthare"
"firulais-wallet-token","fiwt"
"fisco","fscc"
"fish-crypto","fico"
"fishing-tuna","tuna"
"fishkoin","koin"
"fishy","$fishy"
"fistbump","fist"
"fitmint","fitt"
"fitzen","fitz"
"fiwb-doginals","fiwb"
"fix00","fix00"
"fjord-foundry","fjo"
"fkuinu","fkuinu"
"flack-exchange","flack"
"flag-coin","flag"
"flair-dex","fldx"
"flame-2","flame"
"flamengo-fan-token","mengo"
"flame-protocol","flame"
"flamingghost","fghst"
"flamingo-finance","flm"
"flap","flap"
"flappybee","beet"
"flappy-bird-evolution","fevo"
"flappymoonbird","$fmb"
"flare-finance","exfi"
"flare-networks","flr"
"flare-token","1flr"
"flash-3-0","flash"
"flashdash","flashdash"
"flashpad-token","flash"
"flash-stake","flash"
"flash-technologies","ftt"
"flatqube","qube"
"fleamint","flmc"
"flexbot","flex"
"flex-coin","flex"
"flexgpu","fgpu"
"flexmeme","flex"
"flex-usd","flexusd"
"flightclupcoin","flight"
"flits","fls"
"float-protocol","bank"
"floki","floki"
"flokibonk","flobo"
"flokiburn","flokiburn"
"floki-cash","flokicash"
"floki-ceo","flokiceo"
"floki-ceo-coin","fcc"
"flokidash","flokidash"
"flokifi","flokifi"
"flokifork","fork"
"floki-rocket","rloki"
"flokis","flokis"
"flokisanta","flokis"
"floki-santa","flokisanta"
"floki-shiba-pepe-ceo","3ceo"
"flokita","flokita"
"flokiter-ai","fai"
"flokiwifhat","floki"
"flonk","flonk"
"floof","floof"
"floop","floop"
"floor-cheese-burger","flrbrg"
"floordao-v2","floor"
"flooring-lab-credit","flc"
"flooring-protocol-azuki","uazuki"
"flooring-protocol-micro0n1force","u0n1"
"flooring-protocol-microbeanz","ubeanz"
"flooring-protocol-microboredapekennelclub","ubakc"
"flooring-protocol-microboredapeyachtclub","ubayc"
"flooring-protocol-microcaptainz","ucaptainz"
"flooring-protocol-microclonex","uclonex"
"flooring-protocol-microcoolcats","ucool"
"flooring-protocol-microdegods","udegods"
"flooring-protocol-microdoodle","udoodle"
"flooring-protocol-microelemental","uelem"
"flooring-protocol-microjeergirl","μjeergirl"
"flooring-protocol-microlilpudgys","ulp"
"flooring-protocol-micromeebits","u⚇"
"flooring-protocol-micromfers","umfer"
"flooring-protocol-micromilady","umil"
"flooring-protocol-micromoonbirds","umoonbirds"
"flooring-protocol-micronakamigos","unkmgs"
"flooring-protocol-microotatoz","upotatoz"
"flooring-protocol-microotherdeed","uothr"
"flooring-protocol-micropudgypenguins","uppg"
"flooring-protocol-microsappyseals","usaps"
"flooring-protocol-microworldofwomen","uwow"
"flooring-protocol-microy00ts","uy00ts"
"flooring-protocol-mutantapeyachtclub","umayc"
"florachain-yield-token","fyt"
"florence-finance-medici","ffm"
"florin","xfl"
"flourishing-ai-token","ai"
"flovatar-dust","fdust"
"flow","flow"
"flowchaincoin","flc"
"flower","flow"
"flowmatic","fm"
"flowx-finance","flx"
"floxypay","fxy"
"floyx-new","floyx"
"fluence-2","flt"
"fluffy-coin","fluf"
"fluid","fld"
"fluid-2","fluid"
"fluid-dai","fdai"
"fluid-frax","ffrax"
"fluidity","fly"
"fluidtokens","fldt"
"fluid-tusd","ftusd"
"fluid-usdc","fusdc"
"fluid-usdt","fusdt"
"fluminense-fc-fan-token","flu"
"flurry","flurry"
"flute","flut"
"flux","flux"
"fluxbot","fluxb"
"flux-dai","fdai"
"flux-frax","ffrax"
"flux-point-studios-shards","shards"
"flux-protocol","flux"
"flux-token","flx"
"flux-usdc","fusdc"
"flux-usdt","fusdt"
"flycoin-fly","fly"
"flying-avocado-cat","fac"
"flypme","fyp"
"fncy","fncy"
"fnkcom","fnk"
"foam-protocol","foam"
"foc","foc"
"fodl-finance","fodl"
"fofo-token","fofo"
"fognet","fog"
"foho-coin","foho"
"fold","$fld"
"follow-token","folo"
"fomo-2","fomo"
"fomo-base","fomo"
"fomo-eth","fomo"
"fomofi","fomo"
"fomo-inu","finu"
"fomosfi","fomos"
"fone","fone"
"fonsmartchain","fon"
"fonzy","fonzy"
"food","food"
"food-bank","food"
"foodchain-global","food"
"food-token-2","food"
"foolbull","foolbull"
"foom","foom"
"football-at-alphaverse","fav"
"football-coin","xfc"
"footballfanapp","fnc"
"footballstars","fts"
"football-world-community","fwc"
"foox-ordinals","foox"
"forbidden-fruit-energy","ffe"
"force-2","frc"
"force-bridge-usdc","usdc"
"forcefi","forc"
"force-protocol","for"
"forefront","ff"
"fore-protocol","fore"
"forest-knight","knight"
"forestry","fry"
"forever-aid-token","foat"
"forever-burn","fburn"
"forever-shiba","4shiba"
"forge","forge"
"forgotten-playland","fp"
"for-loot-and-glory","flag"
"formation-fi","form"
"formula-inu","finu"
"forrealog","frog"
"forta","fort"
